sample_index	mutation_index	cluster_index	var	depth
0	0	0	42	101
0	1	1	27	102
0	2	2	0	115
0	3	3	6	109
0	4	4	15	97
0	5	5	2	101
0	6	6	4	103
0	7	7	4	102
0	8	8	2	93
0	9	9	1	119
0	10	10	30	81
0	11	11	5	97
0	12	12	5	102
0	13	13	4	88
0	14	14	8	94
0	15	15	13	104
0	16	16	24	92
0	17	17	1	108
0	18	18	3	104
0	19	19	3	100
1	0	0	30	111
1	1	1	14	102
1	2	2	1	89
1	3	3	3	81
1	4	4	4	89
1	5	5	0	89
1	6	6	0	95
1	7	7	1	102
1	8	8	2	112
1	9	9	2	99
1	10	10	23	98
1	11	11	3	97
1	12	12	8	88
1	13	13	9	112
1	14	14	6	101
1	15	15	13	116
1	16	16	17	86
1	17	17	0	90
1	18	18	0	108
1	19	19	1	81
2	0	0	35	99
2	1	1	21	98
2	2	2	0	89
2	3	3	0	90
2	4	4	9	89
2	5	5	0	94
2	6	6	1	114
2	7	7	1	104
2	8	8	3	95
2	9	9	4	95
2	10	10	37	108
2	11	11	1	90
2	12	12	3	106
2	13	13	9	107
2	14	14	4	109
2	15	15	5	83
2	16	16	28	92
2	17	17	1	93
2	18	18	3	99
2	19	19	2	102
3	0	0	61	117
3	1	1	30	84
3	2	2	2	106
3	3	3	0	78
3	4	4	20	102
3	5	5	0	76
3	6	6	2	102
3	7	7	2	104
3	8	8	0	85
3	9	9	5	106
3	10	10	51	110
3	11	11	9	104
3	12	12	7	79
3	13	13	7	108
3	14	14	17	112
3	15	15	16	109
3	16	16	38	105
3	17	17	7	88
3	18	18	19	114
3	19	19	1	115
4	0	0	40	101
4	1	1	18	95
4	2	2	3	112
4	3	3	4	83
4	4	4	10	87
4	5	5	5	107
4	6	6	2	95
4	7	7	2	99
4	8	8	10	112
4	9	9	8	90
4	10	10	42	105
4	11	11	1	98
4	12	12	5	100
4	13	13	9	103
4	14	14	7	109
4	15	15	14	98
4	16	16	22	98
4	17	17	0	91
4	18	18	2	121
4	19	19	6	84
5	0	0	61	114
5	1	1	42	120
5	2	2	7	92
5	3	3	2	99
5	4	4	18	99
5	5	5	0	87
5	6	6	0	105
5	7	7	3	102
5	8	8	4	77
5	9	9	12	110
5	10	10	43	118
5	11	11	4	96
5	12	12	8	97
5	13	13	3	114
5	14	14	19	106
5	15	15	5	88
5	16	16	35	89
5	17	17	0	74
5	18	18	7	92
5	19	19	2	113
6	0	0	40	80
6	1	1	24	110
6	2	2	1	118
6	3	3	2	97
6	4	4	7	85
6	5	5	3	83
6	6	6	3	89
6	7	7	2	106
6	8	8	10	115
6	9	9	3	103
6	10	10	49	117
6	11	11	1	111
6	12	12	1	105
6	13	13	1	93
6	14	14	7	93
6	15	15	6	94
6	16	16	20	102
6	17	17	0	99
6	18	18	3	109
6	19	19	2	99
7	0	0	34	84
7	1	1	21	105
7	2	2	4	84
7	3	3	1	83
7	4	4	4	86
7	5	5	5	97
7	6	6	3	89
7	7	7	0	100
7	8	8	1	107
7	9	9	9	116
7	10	10	35	107
7	11	11	2	95
7	12	12	2	91
7	13	13	6	101
7	14	14	1	101
7	15	15	11	104
7	16	16	27	101
7	17	17	0	104
7	18	18	4	103
7	19	19	0	99
8	0	0	29	87
8	1	1	27	113
8	2	2	0	89
8	3	3	0	102
8	4	4	16	103
8	5	5	1	102
8	6	6	4	86
8	7	7	2	78
8	8	8	6	109
8	9	9	3	101
8	10	10	41	118
8	11	11	6	103
8	12	12	5	84
8	13	13	9	97
8	14	14	8	104
8	15	15	8	111
8	16	16	25	96
8	17	17	2	89
8	18	18	4	123
8	19	19	5	92
9	0	0	49	106
9	1	1	31	92
9	2	2	1	99
9	3	3	5	92
9	4	4	9	106
9	5	5	0	96
9	6	6	2	90
9	7	7	6	107
9	8	8	4	108
9	9	9	6	107
9	10	10	44	100
9	11	11	8	111
9	12	12	2	90
9	13	13	7	109
9	14	14	7	90
9	15	15	15	108
9	16	16	38	103
9	17	17	1	97
9	18	18	0	86
9	19	19	0	107
