llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-590.1679077148438	2;5;6;1	3		4	7			
-591.0292358398438	2;5;6;1	4		7	3			
-589.8103637695312	2;5;1	6;3		4	7			
-590.6717529296875	2;5;1	6;4		7	3			
-589.8103637695312	2;5;1	3		6;4	7			
-591.2471923828125	2;5;1	4;7		6	3			
-591.13916015625	2;5;1	3		4;7	6			
-590.2042236328125	2;5;1	3		4	6;7			
-589.8103637695312	2;5;1	3		4	7			6
-590.7991333007812	2;5;1	3;7		4	6			
-590.7670288085938	2;5;1	4		6;7	3			
-590.6717529296875	2;5;1	4		7	3			6
-591.3575439453125	2;5;1	4		7	3;6			
-589.7747192382812	2;6;1	5;3		4	7			
-590.6361083984375	2;6;1	5;4		7	3			
-589.5178833007812	2;1	5;6;3		4	7			
-590.3792724609375	2;1	5;6;4		7	3			
-589.5178833007812	2;1	5;3		6;4	7			
-591.221923828125	2;1	5;4;7		6	3			
-590.8467407226562	2;1	5;3		4;7	6			
-589.9117431640625	2;1	5;3		4	6;7			
-589.5178833007812	2;1	5;3		4	7			6
-590.8491821289062	2;1	5;3;7		4	6			
-590.474609375	2;1	5;4		6;7	3			
-590.3792724609375	2;1	5;4		7	3			6
-591.0651245117188	2;1	5;4		7	3;6			
-589.356689453125	5;1	2;3	6	4	7			
-590.218017578125	5;1	2;4	6	7	3			
-590.4852294921875	5;1	4;7	6	2	3			
-589.900146484375	5;1	3;7	6	4	2			
-591.5679931640625	2;1	3;5;6;7		4				
-590.8467407226562	2;1	5;6;3		4;7				
-590.8491821289062	2;1	3;5;7		4				6
-590.8491821289062	2;1	5;3;7		4;6				
-591.4896240234375	2;1	5;3		4;6;7				
-589.5760498046875	2;1	6;3		5;4	7			
-590.8467407226562	2;1	5;3		4;7				6
-590.4841918945312	2;1	6;4		5;7	3			
-590.834228515625	2;1	3;5;7		4		6		
-590.8473510742188	2;1	3;6;7		4				5
-590.302978515625	2;1	3;7		4		6		5
-590.302978515625	2;1	3;7		4				5;6
-589.35791015625	5;1	3	6	2;4	7			
-590.6854858398438	5;1	3	6	4;7	2			
-590.857421875	2;1	3;6;7		4;5				
-590.3130493164062	2;1	3;7		4;5				6
-590.3130493164062	2;1	3;7		4;5;6				
-589.5760498046875	2;1	3		5;6;4	7			
-590.77587890625	2;1	4;7		5;6	3			
-589.9698486328125	2;1	3		5;4	6;7			
-589.5760498046875	2;1	3		5;4	7			6
-591.553466796875	2;1	3		4;6;7				5
-590.9105834960938	2;1	3		4;7		6		5
-590.9105834960938	2;1	3		4;7				5;6
-591.1858520507812	2;1	4;6;7		5	3			
-590.77587890625	2;1	4;7		5	3			6
-590.2714233398438	5;1	3	6	4	2;7			
-590.3130493164062	2;1	3;7		5;4	6			
-591.4896240234375	2;1	3		4;6;7	5			
-589.947021484375	2;1	3		6;4	5;7			
-590.8467407226562	2;1	3		4;7	5			6
-590.8467407226562	2;1	3		4;7	5;6			
-590.5430908203125	2;1	3		4	5;6;7			
-589.947021484375	2;1	3		4	5;7			6
-589.9378051757812	2;1	3		4	5;7	6		
-589.356689453125	5;1	3	6	4	7			2
-589.9597778320312	2;1	3		4	6;7			5
-589.5659790039062	2;1	3		4	7	6		5
-591.3706665039062	2;1	3		4	7		5	6
-589.5659790039062	2;1	3		4	7			5;6
-590.8467407226562	2;1	5;3		4;7		6		
-590.3130493164062	2;1	3;7		4;5		6		
-589.5760498046875	2;1	3		5;4	7	6		
