llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-532.7499389648438	-1	0	3	4	0	2	0	5
-532.7499389648438	-1	0	3	4	0	2	2	0
-532.7499389648438	-1	0	3	4	0	2	0	3
-532.7499389648438	-1	0	3	4	0	2	3	0
-532.7499389648438	-1	0	3	4	0	2	0	0
-532.7503051757812	-1	0	3	4	0	2	0	4
-532.7499389648438	-1	0	3	4	0	2	7	0
-532.7499389648438	-1	0	3	4	0	2	4	0
-532.7503051757812	-1	0	3	4	0	2	2	4
-532.7503051757812	-1	0	3	4	0	2	3	4
-532.7499389648438	-1	0	3	4	0	2	4	3
-532.7503051757812	-1	0	3	4	0	2	4	4
-532.7503051757812	-1	0	3	4	0	2	7	4
-532.7499389648438	-1	0	3	4	0	2	2	3
-532.7499389648438	-1	0	3	4	0	2	2	5
-532.7499389648438	-1	0	3	4	0	2	3	3
-532.7499389648438	-1	0	3	4	0	2	7	3
-532.7499389648438	-1	0	3	4	0	2	5	5
-532.7499389648438	-1	0	3	4	0	2	7	5
-532.7499389648438	-1	0	3	4	0	2	3	5
-532.7499389648438	-1	0	3	4	0	2	5	3
-532.7499389648438	-1	0	3	4	0	2	4	5
-532.7503051757812	-1	0	3	4	0	2	5	4
-532.7499389648438	-1	0	3	4	0	2	5	0
-532.7499389648438	-1	0	3	4	0	2	1	5
-532.7499389648438	-1	5	3	4	0	2	1	0
-532.7499389648438	-1	2	3	4	0	2	0	5
-532.7499389648438	-1	2	3	4	0	2	1	0
-532.7499389648438	-1	2	3	4	0	2	2	0
-532.7499389648438	-1	2	3	4	0	2	0	3
-532.7499389648438	-1	2	3	4	0	2	3	0
-532.7499389648438	-1	2	3	4	0	2	0	0
-532.7503051757812	-1	2	3	4	0	2	0	4
-532.7499389648438	-1	2	3	4	0	2	7	0
-532.7499389648438	-1	2	3	4	0	2	4	0
-532.7499389648438	-1	0	3	4	0	2	1	3
