tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_7
0	-579.9052124023438	-1	0	1	1	3	0	4	0.2998853921890259	0.2743082642555237	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.0255771204829216	0.019607843831181526	0.3894684314727783	0.36637669801712036	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.023091718554496765	0.18347203731536865
1	-579.8336791992188	-1	0	1	1	3	1	4	0.29807692766189575	0.27586206793785095	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.0258620698004961	0.019607843831181526	0.3776593506336212	0.3776593506336212	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.024390242993831635	0.18347203731536865
2	-579.8917846679688	-1	0	1	1	3	3	4	0.29807692766189575	0.27586206793785095	0.008403361774981022	0.2251955270767212	0.20108337700366974	0.024112150073051453	0.019607843831181526	0.3776593804359436	0.3776593804359436	0.0476190485060215	0.24761903285980225	0.18347202241420746	0.024390242993831635	0.18347203731536865
3	-579.8817138671875	-1	0	1	1	3	7	4	0.29807692766189575	0.27586206793785095	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.022708117961883545	0.022708116099238396	0.3776593804359436	0.3776593804359436	0.0476190485060215	0.24761904776096344	0.18347203731536865	0.024390242993831635	0.18347203731536865
4	-579.9064331054688	-1	0	3	1	3	0	4	0.2998853921890259	0.2743082642555237	0.008244376629590988	0.21650363504886627	0.20825925469398499	0.0255771204829216	0.019607843831181526	0.3894684314727783	0.36637669801712036	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.023091718554496765	0.18347203731536865
5	-579.8348999023438	-1	0	3	1	3	1	4	0.29807692766189575	0.27586206793785095	0.008244376629590988	0.21650363504886627	0.20825925469398499	0.0258620698004961	0.019607843831181526	0.3776593804359436	0.3776593804359436	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.024390242993831635	0.18347203731536865
6	-579.8829345703125	-1	0	3	1	3	7	4	0.29807692766189575	0.27586206793785095	0.008244376629590988	0.21650363504886627	0.20825925469398499	0.022708117961883545	0.022708116099238396	0.3776593804359436	0.3776593804359436	0.0476190485060215	0.24761904776096344	0.18347203731536865	0.024390242993831635	0.18347203731536865
7	-579.9052124023438	-1	0	7	1	3	0	4	0.2998853921890259	0.2743082642555237	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.0255771204829216	0.019607843831181526	0.3894684314727783	0.36637669801712036	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.023091718554496765	0.18347203731536865
8	-579.8336791992188	-1	0	7	1	3	1	4	0.29807692766189575	0.27586206793785095	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.0258620698004961	0.019607843831181526	0.3776593804359436	0.3776593804359436	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.024390242993831635	0.18347203731536865
9	-579.8917846679688	-1	0	7	1	3	3	4	0.29807692766189575	0.27586206793785095	0.008403361774981022	0.2251955270767212	0.20108337700366974	0.024112150073051453	0.019607843831181526	0.3776593804359436	0.3776593804359436	0.0476190485060215	0.24761903285980225	0.18347202241420746	0.024390242993831635	0.18347203731536865
10	-579.899169921875	1	-1	0	0	3	0	4	0.28637582063674927	0.28637582063674927	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.0258620698004961	0.019607843831181526	0.37634405493736267	0.37894734740257263	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.024390242993831635	0.18347203731536865
11	-579.900390625	1	-1	3	0	3	0	4	0.28637582063674927	0.28637582063674927	0.008244376629590988	0.21650363504886627	0.20825925469398499	0.0258620698004961	0.019607843831181526	0.37634408473968506	0.378947377204895	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.024390242993831635	0.18347203731536865
12	-579.899169921875	1	-1	7	0	3	0	4	0.28637582063674927	0.28637582063674927	0.008403361774981022	0.2150537669658661	0.20952381193637848	0.0258620698004961	0.019607843831181526	0.37634408473968506	0.378947377204895	0.0476190485060215	0.24761904776096344	0.18347202241420746	0.024390242993831635	0.18347203731536865
