tree	llh	pi_0	pi_1	pi_2	pi_3	pi_5	pi_6	f_0_0	f_0_1	f_0_2	f_0_3	f_0_5	f_0_6	f_1_0	f_1_1	f_1_2	f_1_3	f_1_5	f_1_6
0	-395.9727478027344	-1	2	0	0	0	0	0.420560747385025	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
1	-395.9727478027344	-1	2	0	0	3	0	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
2	-395.9727478027344	-1	2	0	0	0	1	0.4205607771873474	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
3	-395.9727478027344	-1	2	0	0	3	1	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
4	-395.9727478027344	-1	2	0	0	0	3	0.4205607771873474	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
5	-395.9727478027344	-1	2	0	0	3	3	0.42056071758270264	0.16500402987003326	0.16500402987003326	0.1666666716337204	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
6	-395.92877197265625	-1	3	0	0	0	0	0.42056071758270264	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
7	-395.9916687011719	-1	3	0	0	1	0	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.050689294934272766	0.06956521421670914	0.09090909361839294	0.050689294934272766	0.020202020183205605
8	-395.92877197265625	-1	3	0	0	2	0	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
9	-395.9557800292969	-1	3	0	0	3	0	0.420560747385025	0.16987304389476776	0.15625	0.16987302899360657	-2.4010660126805305e-10	0.05999999865889549	0.2929292917251587	0.04222646728157997	0.06956521421670914	0.09552672505378723	0.05330025777220726	0.020202020183205605
10	-395.92877197265625	-1	3	0	0	0	1	0.420560747385025	0.16987302899360657	0.15625	0.16987302899360657	9.999999974752427e-07	0.05999999865889549	0.2929292917251587	0.04494382068514824	0.06956521421670914	0.09090909361839294	0.05607476457953453	0.020202020183205605
