tree	llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	f_0_0	f_0_1	f_0_2	f_0_3	f_0_4	f_0_5	f_0_6	f_0_7	f_1_0	f_1_1	f_1_2	f_1_3	f_1_4	f_1_5	f_1_6	f_1_7
0	-567.7498779296875	-1	0	1	5	1	2	2	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37556686997413635	0.23007187247276306	0.22231541574001312	0.024793388321995735	0.007756456732749939	0.20427337288856506	0.01804206147789955	0.14549492299556732
1	-567.6907348632812	-1	0	1	5	1	2	3	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733929395675659	0.22689861059188843	0.21838347613811493	0.024793388321995735	0.008515134453773499	0.21621622145175934	0.019801979884505272	0.1464942991733551
2	-567.6907348632812	-1	0	1	5	1	2	5	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733929395675659	0.22689861059188843	0.21838347613811493	0.024793388321995735	0.008515134453773499	0.21621622145175934	0.019801979884505272	0.1464942991733551
3	-567.6907348632812	-1	0	1	5	1	2	7	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733929395675659	0.22689861059188843	0.21838347613811493	0.024793388321995735	0.008515134453773499	0.21621622145175934	0.019801979884505272	0.1464942991733551
4	-567.7498779296875	-1	0	1	7	1	2	2	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37556686997413635	0.23007187247276306	0.22231541574001312	0.024793388321995735	0.007756456732749939	0.20427337288856506	0.01804206147789955	0.14549492299556732
5	-567.6907348632812	-1	0	1	7	1	2	3	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733929395675659	0.22689861059188843	0.21838347613811493	0.024793388321995735	0.008515134453773499	0.21621622145175934	0.019801979884505272	0.1464942991733551
6	-567.6907348632812	-1	0	1	7	1	2	5	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733929395675659	0.22689861059188843	0.21838347613811493	0.024793388321995735	0.008515134453773499	0.21621622145175934	0.019801979884505272	0.1464942991733551
7	-567.6907348632812	-1	0	1	7	1	2	7	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.3733929395675659	0.22689861059188843	0.21838347613811493	0.024793388321995735	0.008515134453773499	0.21621622145175934	0.019801979884505272	0.1464942991733551
8	-567.6741333007812	-1	0	1	5	2	2	3	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37115877866744995	0.22364097833633423	0.22364097833633423	0.024793388321995735	0.009129481390118599	0.21451149880886078	0.019801979884505272	0.14751780033111572
9	-567.6741333007812	-1	0	1	5	2	2	5	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37115877866744995	0.22364097833633423	0.22364097833633423	0.024793388321995735	0.009129481390118599	0.21451149880886078	0.019801979884505272	0.14751780033111572
10	-567.6741333007812	-1	0	1	5	2	2	7	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37115877866744995	0.22364097833633423	0.22364097833633423	0.024793388321995735	0.009129481390118599	0.21451149880886078	0.019801979884505272	0.14751780033111572
11	-567.6741333007812	-1	0	1	7	2	2	3	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37115877866744995	0.22364097833633423	0.22364097833633423	0.024793388321995735	0.009129481390118599	0.21451149880886078	0.019801979884505272	0.14751780033111572
12	-567.6741333007812	-1	0	1	7	2	2	5	0	0.5666666626930237	0.4536082446575165	0.3877550959587097	0.010309278033673763	0.03846153989434242	0.09345794469118118	9.999999974752427e-07	0.10126582533121109	0.37115877866744995	0.22364097833633423	0.22364097833633423	0.024793388321995735	0.009129481390118599	0.21451149880886078	0.019801979884505272	0.14751780033111572
